Team,Title,Doi,arnumber,doi_url
kai-niu-semantic-communications,ComAI: The Convergence of Communication and Artificial Intelligence,10.1109/comst.2025.3608174,11155147,https://ieeexplore.ieee.org/document/11155147/
kai-niu-semantic-communications,AdaJSCC: Instance-Adaptive Joint Source-Channel Coding for Wireless Image Transmission,10.1109/gcwkshp64532.2024.11100771,11100771,https://ieeexplore.ieee.org/document/11100771/
kai-niu-semantic-communications,Neural Joint Source-Channel Decoding using Arithmetic Codes,10.1109/gcwkshps52748.2021.9682040,9682040,https://ieeexplore.ieee.org/document/9682040/
meixia-tao-semantic-communications,A Wyner-Ziv Coding-Based Semantic Communication Approach with a Shared Semantic Codebook,10.1109/gcwkshps58843.2023.10464918,10464918,https://ieeexplore.ieee.org/document/10464918/
kai-niu-semantic-communications,A Novel Deep Learning Architecture for Wireless Image Transmission,10.1109/globecom46510.2021.9685036,9685036,https://ieeexplore.ieee.org/document/9685036/
kai-niu-semantic-communications,SemAudio: Semantic-Aware Streaming Communications for Real-Time Audio Transmission,10.1109/globecom48099.2022.10001043,10001043,https://ieeexplore.ieee.org/document/10001043/
kai-niu-semantic-communications,Resolution-Adaptive Source-Channel Coding for End-to-End Wireless Image Transmission,10.1109/globecom48099.2022.10001465,10001465,https://ieeexplore.ieee.org/document/10001465/
meixia-tao-semantic-communications,A Superposition Code Approach for Digital Semantic Communications Over Broadcast Channels,10.1109/globecom54140.2023.10437022,10437022,https://ieeexplore.ieee.org/document/10437022/
meixia-tao-semantic-communications,Prompt-based Multimodal Semantic Communication for Multi-spectral Image Segmentation,10.1109/iccc65529.2025.11148605,11148605,https://ieeexplore.ieee.org/document/11148605/
kai-niu-semantic-communications,Wireless Synonymous Image Transmission with Joint Spatial-Power Domain Adaptation,10.1109/iccc65529.2025.11148621,11148621,https://ieeexplore.ieee.org/document/11148621/
meixia-tao-semantic-communications,MIMO Semantic Communication via Score-Based Reverse Mean Propagation,10.1109/iccc65529.2025.11149014,11149014,https://ieeexplore.ieee.org/document/11149014/
kai-niu-semantic-communications,Rate-Compatible Joint Source-Channel Coding Scheme Based on 5GNR LDPC Codes,10.1109/ictc57116.2023.10154810,10154810,https://ieeexplore.ieee.org/document/10154810/
kai-niu-semantic-communications,Joint Source-Channel Polar-Coded Modulation,10.1109/isit50566.2022.9834492,9834492,https://ieeexplore.ieee.org/document/9834492/
kai-niu-semantic-communications,Distributed Joint Source-Channel Polar Coding,10.1109/isit50566.2022.9834726,9834726,https://ieeexplore.ieee.org/document/9834726/
kai-niu-semantic-communications,Source Value-Based Resource Allocation in Task-Oriented Communications,10.1109/jiot.2024.3430905,10604825,https://ieeexplore.ieee.org/document/10604825/
kai-niu-semantic-communications,MDVSC—Efficient Wireless Model Division Video Semantic Communication,10.1109/jiot.2024.3464614,10685066,https://ieeexplore.ieee.org/document/10685066/
kai-niu-semantic-communications,Semantic-Importance-Aware Reordering-Enhanced Semantic Communication System With OFDM Transmission,10.1109/jiot.2025.3529492,10843133,https://ieeexplore.ieee.org/document/10843133/
kai-niu-semantic-communications,Multiuser Content-Style Adaptive Semantic Communication for Image Transmission,10.1109/jiot.2025.3581393,11045090,https://ieeexplore.ieee.org/document/11045090/
kai-niu-semantic-communications,Cross-Layer Encrypted Semantic Communication Framework for Panoramic Video Transmission,10.1109/jiot.2025.3592181,11096006,https://ieeexplore.ieee.org/document/11096006/
kai-niu-semantic-communications,In-Band Full-Duplex System for Semantic Communication,10.1109/jiot.2025.3598151,11123575,https://ieeexplore.ieee.org/document/11123575/
arumugam-nallanathan-deepsc-semantic-communications,Multitask Semantic Communication: A Mutual Information-Aided Semi-Supervised Approach,10.1109/jiot.2025.3607792,11153959,https://ieeexplore.ieee.org/document/11153959/
kai-niu-semantic-communications,Taming Learnable Codebook Design and Modulation for Digital Semantic Image Communication,10.1109/jiot.2025.3619193,11196925,https://ieeexplore.ieee.org/document/11196925/
kai-niu-semantic-communications,Deep Joint Source-Channel Coding-based Multi-rate CSI Feedback for Time-varying Massive MIMO Channels,10.1109/jiot.2026.3709765,11594822,https://ieeexplore.ieee.org/document/11594822/
meixia-tao-semantic-communications,"Federated Edge Learning for 6G: Foundations, Methodologies, and Applications",10.1109/jproc.2024.3509739,10799091,https://ieeexplore.ieee.org/document/10799091/
kai-niu-semantic-communications,Semantic Communication System Based on Semantic Slice Models Propagation,10.1109/jsac.2022.3221948,9954279,https://ieeexplore.ieee.org/document/9954279/
kai-niu-semantic-communications,ISCom: Interest-Aware Semantic Communication Scheme for Point Cloud Video Streaming on Metaverse XR Devices,10.1109/jsac.2023.3345430,10372502,https://ieeexplore.ieee.org/document/10372502/
meixia-tao-semantic-communications,Fairness-Aware Joint Source-Channel Coding for Robust Task-Oriented Communication,10.1109/jsac.2025.3638730,11271262,https://ieeexplore.ieee.org/document/11271262/
kai-niu-semantic-communications,Federated Semantic Learning Driven by Information Bottleneck for Task-Oriented Communications,10.1109/lcomm.2023.3307096,10225550,https://ieeexplore.ieee.org/document/10225550/
kai-niu-semantic-communications,Enhanced Joint Source-Channel Polarization Effect Based on Polarizing Matrix Extension,10.1109/lcomm.2024.3385096,10491360,https://ieeexplore.ieee.org/document/10491360/
kai-niu-semantic-communications,Semantic Communications for Multi-View Generation,10.1109/lcomm.2024.3391909,10506635,https://ieeexplore.ieee.org/document/10506635/
kai-niu-semantic-communications,Synchronization Mechanism: Preliminary Attempt to Enable Wireless Semantic Communication With Heterogeneous Knowledge Bases,10.1109/lcomm.2024.3412811,10553338,https://ieeexplore.ieee.org/document/10553338/
kai-niu-semantic-communications,Domain Knowledge Driven Semantic Communication for Image Transmission Over Wireless Channels,10.1109/lwc.2022.3216994,9928407,https://ieeexplore.ieee.org/document/9928407/
kai-niu-semantic-communications,Efficient Semantic-Aware Encryption for Semantic Communication in Intelligent Connected Vehicles,10.1109/lwc.2025.3595855,11112661,https://ieeexplore.ieee.org/document/11112661/
kai-niu-semantic-communications,Trustworthy Intelligent Networks for Low-Altitude Economy,10.1109/mcom.001.2400692,11024060,https://ieeexplore.ieee.org/document/11024060/
yi-ma-mahdi-mashhadi-semantic-communications,Adaptive Semantic Communication for Gaze-guided Stereo Media Transmission,10.1109/metacom65502.2025.00050,11190267,https://ieeexplore.ieee.org/document/11190267/
